Index,Words
0,"[Synset('punt.n.03'), Synset('punt.v.01'), Synset('punt.v.02'), Synset('bet_on.v.01')]"
1,"[Synset('crowd.n.01'), Synset('crowd.n.02'), Synset('herd.v.01'), Synset('crowd.v.02'), Synset('crowd.v.03'), Synset('push.v.06')]"
2,"[Synset('secret.n.01'), Synset('secret.n.02'), Synset('mystery.n.01'), Synset('secret.s.01'), Synset('clandestine.s.01'), Synset('unavowed.s.03'), Synset('secret.s.04'), Synset('secret.s.05'), Synset('hidden.s.02'), Synset('privy.s.01'), Synset('confidential.s.02'), Synset('secret.s.09'), Synset('mysterious.s.02'), Synset('secret.s.11')]"
3,"[Synset('fumble.n.01'), Synset('grope.v.01'), Synset('fumble.v.02'), Synset('fumble.v.03'), Synset('botch.v.01'), Synset('fumble.v.05')]"
4,[Synset('pond.n.01')]
5,"[Synset('health.n.01'), Synset('health.n.02')]"
6,"[Synset('forgiveness.n.02'), Synset('pardon.n.02'), Synset('amnesty.n.03'), Synset('excuse.v.01'), Synset('pardon.v.02')]"
7,"[Synset('shingle.n.01'), Synset('milkshake.n.01'), Synset('trill.n.01'), Synset('handshake.n.01'), Synset('tremble.n.01'), Synset('wag.n.02'), Synset('shake.v.01'), Synset('shake.v.02'), Synset('judder.v.01'), Synset('rock.v.01'), Synset('shake.v.05'), Synset('stimulate.v.03'), Synset('shake.v.07'), Synset('shake.v.08'), Synset('shake.v.09')]"
8,[]
9,"[Synset('proof.n.01'), Synset('proof.n.02'), Synset('proof.n.03'), Synset('proof.n.04'), Synset('proof.n.05'), Synset('validation.n.01'), Synset('proof.v.01'), Synset('proof.v.02'), Synset('proofread.v.01'), Synset('proof.v.04'), Synset('proof.v.05'), Synset('proof.s.01')]"
10,[]
11,"[Synset('town.n.01'), Synset('town.n.02'), Synset('township.n.01'), Synset('town.n.04')]"
12,[Synset('lotto.n.01')]
13,"[Synset('cagey.s.01'), Synset('apt.s.03'), Synset('clever.s.03')]"
14,"[Synset('inside.n.01'), Synset('inside.n.02'), Synset('inside.a.01'), Synset('inside.s.02'), Synset('inside.s.03'), Synset('inside.s.04'), Synset('inside.r.01'), Synset('inside.r.02'), Synset('inwardly.r.01'), Synset('at_heart.r.01')]"
15,"[Synset('answer.n.01'), Synset('reply.n.02'), Synset('answer.v.01')]"
16,"[Synset('freeze.v.01'), Synset('freeze.v.02'), Synset('freeze.v.03'), Synset('freeze.v.04'), Synset('freeze.v.05'), Synset('freeze.v.06'), Synset('freeze.v.07'), Synset('freeze.v.08'), Synset('freeze.v.09'), Synset('freeze.v.10'), Synset('frozen.a.01'), Synset('frozen.s.02'), Synset('frigid.s.03'), Synset('frozen.s.04'), Synset('flash-frozen.s.01'), Synset('frozen.s.06'), Synset('fixed.s.04')]"
17,"[Synset('special.n.01'), Synset('special.n.02'), Synset('special.n.03'), Synset('particular.s.01'), Synset('special.s.02'), Synset('especial.s.01'), Synset('special.s.04'), Synset('limited.s.06'), Synset('particular.s.04'), Synset('extra.s.02')]"
18,"[Synset('movie.n.01'), Synset('film.n.02'), Synset('film.n.03'), Synset('film.n.04'), Synset('film.n.05'), Synset('film.v.01'), Synset('film.v.02')]"
19,"[Synset('consequence.n.01'), Synset('solution.n.02'), Synset('result.n.03'), Synset('resultant_role.n.01'), Synset('result.v.01'), Synset('leave.v.07'), Synset('result.v.03')]"
20,"[Synset('sodium_carbonate.n.01'), Synset('pop.n.02')]"
21,"[Synset('sealing_wax.n.01'), Synset('seal.n.02'), Synset('seal.n.03'), Synset('navy_seal.n.01'), Synset('seal.n.05'), Synset('cachet.n.01'), Synset('seal.n.07'), Synset('seal.n.08'), Synset('seal.n.09'), Synset('seal.v.01'), Synset('seal.v.02'), Synset('seal.v.03'), Synset('seal.v.04'), Synset('varnish.v.01'), Synset('seal.v.06')]"
22,"[Synset('twirl.v.01'), Synset('whirl.v.02')]"
23,[Synset('disembark.v.01')]
24,"[Synset('admit.v.01'), Synset('admit.v.02'), Synset('admit.v.03'), Synset('accept.v.05'), Synset('admit.v.05'), Synset('admit.v.06'), Synset('accommodate.v.04'), Synset('admit.v.08')]"
25,[]
